WEAR_PPG_GREEN
ppg|timeOffset|timestamp
755416|-18000000|1732075200014
755383|-18000000|1732075200054
755380|-18000000|1732075200094
755347|-18000000|1732075200134
755341|-18000000|1732075200174
755348|-18000000|1732075200214
755439|-18000000|1732075200254
755406|-18000000|1732075200294
752583|-18000000|1732075200334
755438|-18000000|1732075200374
755350|-18000000|1732075200414
755427|-18000000|1732075200454
751173|-18000000|1732075200494
755397|-18000000|1732075200534
755456|-18000000|1732075200574
755376|-18000000|1732075200614
749374|-18000000|1732075200654
755431|-18000000|1732075200694
755376|-18000000|1732075200734
755392|-18000000|1732075200774
755479|-18000000|1732075200814
755391|-18000000|1732075200854
755416|-18000000|1732075200894
755306|-18000000|1732075200934
755449|-18000000|1732075200974
749304|-18000000|1732075201014
755407|-18000000|1732075201054
755297|-18000000|1732075201094
755321|-18000000|1732075201134
749956|-18000000|1732075201174
755374|-18000000|1732075201214
755376|-18000000|1732075201254
755453|-18000000|1732075201294
752753|-18000000|1732075201334
755373|-18000000|1732075201374
755370|-18000000|1732075201414
755315|-18000000|1732075201454
755393|-18000000|1732075201494
755461|-18000000|1732075201534
755345|-18000000|1732075201574
755424|-18000000|1732075201614
755440|-18000000|1732075201654
760435|-18000000|1732075201694
755388|-18000000|1732075201734
755341|-18000000|1732075201774
755382|-18000000|1732075201814
761124|-18000000|1732075201854
755392|-18000000|1732075201894
755331|-18000000|1732075201934
755394|-18000000|1732075201974
749397|-18000000|1732075202014
755398|-18000000|1732075202054
755245|-18000000|1732075202094
755320|-18000000|1732075202134
755390|-18000000|1732075202174
755383|-18000000|1732075202214
755406|-18000000|1732075202254
755431|-18000000|1732075202294
755328|-18000000|1732075202334
754215|-18000000|1732075202374
755377|-18000000|1732075202414
755425|-18000000|1732075202454
755339|-18000000|1732075202494
761104|-18000000|1732075202534
755423|-18000000|1732075202574
755323|-18000000|1732075202614
755467|-18000000|1732075202654
749718|-18000000|1732075202694
755431|-18000000|1732075202734
755324|-18000000|1732075202774
755381|-18000000|1732075202814
755357|-18000000|1732075202854
755395|-18000000|1732075202894
755409|-18000000|1732075202934
755433|-18000000|1732075202974
755436|-18000000|1732075203014
760603|-18000000|1732075203054
755415|-18000000|1732075203094
755391|-18000000|1732075203134
755317|-18000000|1732075203174
750348|-18000000|1732075203214
755393|-18000000|1732075203254
755380|-18000000|1732075203294
755442|-18000000|1732075203334
749511|-18000000|1732075203374
755407|-18000000|1732075203414
755390|-18000000|1732075203454
755256|-18000000|1732075203494
755274|-18000000|1732075203534
755304|-18000000|1732075203574
755232|-18000000|1732075203614
755511|-18000000|1732075203655
755414|-18000000|1732075203696
752566|-18000000|1732075203737
755348|-18000000|1732075203778
755374|-18000000|1732075203819
755372|-18000000|1732075203860
757909|-18000000|1732075203901
755376|-18000000|1732075203942
755359|-18000000|1732075203983
755423|-18000000|1732075204024
752312|-18000000|1732075204063
755438|-18000000|1732075204102
755351|-18000000|1732075204142
755427|-18000000|1732075204182
755400|-18000000|1732075204222
755463|-18000000|1732075204262
755440|-18000000|1732075204302
755341|-18000000|1732075204342
755365|-18000000|1732075204382
761071|-18000000|1732075204422
755331|-18000000|1732075204462
755421|-18000000|1732075204502
755397|-18000000|1732075204542
753100|-18000000|1732075204582
755427|-18000000|1732075204622
755329|-18000000|1732075204662
755336|-18000000|1732075204702
749671|-18000000|1732075204742
755465|-18000000|1732075204782
755332|-18000000|1732075204822
755371|-18000000|1732075204862
755349|-18000000|1732075204902
755377|-18000000|1732075204942
755418|-18000000|1732075204982
755405|-18000000|1732075205022
755344|-18000000|1732075205062
751033|-18000000|1732075205102
755382|-18000000|1732075205142
755332|-18000000|1732075205182
755307|-18000000|1732075205222
755134|-18000000|1732075205262
755440|-18000000|1732075205302
755331|-18000000|1732075205342
760864|-18000000|1732075205382
755508|-18000000|1732075205422
755401|-18000000|1732075205462
755467|-18000000|1732075205502
755438|-18000000|1732075205542
755386|-18000000|1732075205582
755363|-18000000|1732075205622
755346|-18000000|1732075205662
755419|-18000000|1732075205702
757045|-18000000|1732075205742
755459|-18000000|1732075205782
755356|-18000000|1732075205822
755289|-18000000|1732075205862
755924|-18000000|1732075205902
755397|-18000000|1732075205942
755402|-18000000|1732075205982
755391|-18000000|1732075206022
752098|-18000000|1732075206062
755344|-18000000|1732075206102
755397|-18000000|1732075206142
755343|-18000000|1732075206182
753896|-18000000|1732075206222
755412|-18000000|1732075206262
755298|-18000000|1732075206302
755326|-18000000|1732075206342
755238|-18000000|1732075206382
759285|-18000000|1732075206422
755270|-18000000|1732075206462
755379|-18000000|1732075206502
755407|-18000000|1732075206542
761225|-18000000|1732075206582
755392|-18000000|1732075206622
755387|-18000000|1732075206662
755389|-18000000|1732075206702
749335|-18000000|1732075206742
755350|-18000000|1732075206782
755317|-18000000|1732075206822
755434|-18000000|1732075206862
752053|-18000000|1732075206902
755415|-18000000|1732075206942
755417|-18000000|1732075206982
755360|-18000000|1732075207022
755348|-18000000|1732075207062
752427|-18000000|1732075207102
755378|-18000000|1732075207142
755411|-18000000|1732075207182
755363|-18000000|1732075207222
760444|-18000000|1732075207262
755338|-18000000|1732075207302
755332|-18000000|1732075207342
755414|-18000000|1732075207382
761319|-18000000|1732075207422
755348|-18000000|1732075207462
755426|-18000000|1732075207502
755346|-18000000|1732075207542
758013|-18000000|1732075207582
755376|-18000000|1732075207622
755283|-18000000|1732075207662
755284|-18000000|1732075207702
755420|-18000000|1732075207742
749419|-18000000|1732075207782
755372|-18000000|1732075207822
755427|-18000000|1732075207862
755280|-18000000|1732075207902
752306|-18000000|1732075207942
755389|-18000000|1732075207982
755377|-18000000|1732075208022
755337|-18000000|1732075208062
760098|-18000000|1732075208102
755269|-18000000|1732075208142
755325|-18000000|1732075208182
755354|-18000000|1732075208222
752685|-18000000|1732075208262
755392|-18000000|1732075208302
755350|-18000000|1732075208342
755426|-18000000|1732075208382
755297|-18000000|1732075208422
761749|-18000000|1732075208462
755398|-18000000|1732075208502
755459|-18000000|1732075208542
755356|-18000000|1732075208582
753011|-18000000|1732075208622
755322|-18000000|1732075208662
755406|-18000000|1732075208702
755363|-18000000|1732075208742
758133|-18000000|1732075208782
755308|-18000000|1732075208822
755342|-18000000|1732075208862
755373|-18000000|1732075208902
750995|-18000000|1732075208942
755351|-18000000|1732075208982
755284|-18000000|1732075209022
755385|-18000000|1732075209062
755360|-18000000|1732075209102
757173|-18000000|1732075209142
755326|-18000000|1732075209182
755437|-18000000|1732075209222
755459|-18000000|1732075209262
749786|-18000000|1732075209302
755372|-18000000|1732075209342
755356|-18000000|1732075209382
755450|-18000000|1732075209422
758369|-18000000|1732075209462
755425|-18000000|1732075209502
755296|-18000000|1732075209542
755409|-18000000|1732075209582
749970|-18000000|1732075209622
755364|-18000000|1732075209662
755340|-18000000|1732075209702
755422|-18000000|1732075209742
755495|-18000000|1732075209782
755345|-18000000|1732075209822
755324|-18000000|1732075209862
755393|-18000000|1732075209902
755422|-18000000|1732075209942
755214|-18000000|1732075209982
755390|-18000000|1732075210022
755385|-18000000|1732075210062
755339|-18000000|1732075210102
760820|-18000000|1732075210142
755338|-18000000|1732075210182
755373|-18000000|1732075210222
755321|-18000000|1732075210262
760092|-18000000|1732075210302
755361|-18000000|1732075210342
755465|-18000000|1732075210382
755467|-18000000|1732075210422
755311|-18000000|1732075210462
755283|-18000000|1732075210502
755478|-18000000|1732075210542
755313|-18000000|1732075210582
755452|-18000000|1732075210622
761291|-18000000|1732075210662
755300|-18000000|1732075210702
755306|-18000000|1732075210742
755353|-18000000|1732075210782
761130|-18000000|1732075210822
755380|-18000000|1732075210862
755341|-18000000|1732075210902
750611|-18000000|1732075210942
755417|-18000000|1732075210982
755282|-18000000|1732075211022
755271|-18000000|1732075211062
755281|-18000000|1732075211102
755405|-18000000|1732075211142
755325|-18000000|1732075211182
755379|-18000000|1732075211222
755316|-18000000|1732075211262
761760|-18000000|1732075211302
755368|-18000000|1732075211342
755458|-18000000|1732075211382
755446|-18000000|1732075211422
761315|-18000000|1732075211462
755460|-18000000|1732075211502
755277|-18000000|1732075211542
755364|-18000000|1732075211582
749415|-18000000|1732075211622
755345|-18000000|1732075211662
755419|-18000000|1732075211702
755342|-18000000|1732075211742
755308|-18000000|1732075211782
755395|-18000000|1732075211822
755338|-18000000|1732075211862
755345|-18000000|1732075211902
755468|-18000000|1732075211942
759603|-18000000|1732075211982
755359|-18000000|1732075212022
755493|-18000000|1732075212062
755355|-18000000|1732075212102
749752|-18000000|1732075212142
755286|-18000000|1732075212182
755357|-18000000|1732075212222
755324|-18000000|1732075212262
761203|-18000000|1732075212302
755288|-18000000|1732075212342
755309|-18000000|1732075212382
